책 제목	작가	출판사
불편한 편의점	김호연	나무옆의자
작별인사	김영하	복복서가
완전한 행복	정유정	은행나무
종의 기원	정유정	은행나무
지금, 행복하고 싶어	정목	미래북
아몬드	손원평	창비
밤의 여행자들	정세랑	아작
소년이 온다	한강	창비
채식주의자	한강	창비
여행의 이유	김영하	문학동네
해리	성석제	창비
돌이킬 수 없는 약속	야쿠마루 가쿠	북플라자
82년생 김지영	조남주	민음사
내 인생 최고의 책	장강명	민음사
덕혜옹주	권비영	다산책방
지적 대화를 위한 넓고 얕은 지식	채사장	웨일북
파리의 도서관	자넷 스케슬린 찰스	문학동네
역사의 쓸모	최태성	다산초당
노르웨이의 숲	무라카미 하루키	민음사
죽고 싶지만 떡볶이는 먹고 싶어	백세희	흔
보건교사 안은영	정세랑	민음사
나미야 잡화점의 기적	히가시노 게이고	현대문학
빨강머리 앤	루시 모드 몽고메리	삼성출판사
세이노의 가르침	세이노	데이원
지금 하지 않으면 언제 하겠는가	팀 페리스	토네이도
우리가 빛의 속도로 갈 수 없다면	김초엽	허블
달러구트 꿈 백화점	이미예	팩토리나인
불안	알랭 드 보통	은행나무
살고 싶다는 농담	허지웅	웅진지식하우스
코스모스	칼 세이건	사이언스북스
총 균 쇠	재레드 다이아몬드	문학사상
아내를 모자로 착각한 남자	올리버 색스	알마
죽음의 수용소에서	빅터 프랭클	청아출판사
호밀밭의 파수꾼	제롬 데이비드 샐린저	민음사
호밀밭의 파수꾼	제롬 데이비드 샐린저	민음사
모모	미하엘 엔데	비룡소
장하준의 경제학 강의	장하준	부키
1Q84	무라카미 하루키	문학동네
침묵의 봄	레이첼 카슨	에코리브르
비행운	김애란	문학과지성사
위대한 개츠비	프랜시스 스콧 피츠제럴드	민음사
여덟 단어	박웅현	북하우스
돈의 속성	이명로	비즈니스북스
바깥은 여름	김애란	문학과지성사
신경 끄기의 기술	마크 맨슨	웅진지식하우스
무례한 사람에게 웃으며 대처하는 법	정문정	가나출판사
팩트풀니스	한스 로슬링	김영사
내 어머니 이야기	김은경	마음산책
사피엔스	유발 하라리	김영사
호의는 거절하겠습니다	김유진	북라이프
돈으로 살 수 없는 것들	마이클 센델	미래사
내 옆에 있는 사람	나카무라 후미노리	북라이프
보통의 존재	이석원	달
천년의 질문	조정래	해냄출판사
연금술사	파울로 코엘료	문학동네
돈의 신	이희수	홍익출판사
죽고 싶지만 떡볶이는 먹고 싶어	백세희	
살고 싶다는 농담	허지웅	웅진지식하우스
달러구트 꿈 백화점	이미예	팩토리나인
죽음의 수용소에서	빅터 프랭클	청아출판사
노르웨이의 숲	무라카미 하루키	민음사
노르웨이의 숲	무라카미 하루키	민음사
모모	미하엘 엔데	비룡소
내 어머니 이야기	김은경	마음산책
천년의 질문	조정래	해냄출판사
연금술사	파울로 코엘료	문학동네
죽음의 수용소에서	빅터 프랭클	청아출판사
호밀밭의 파수꾼	제롬 데이비드 샐린저	민음사
지적 대화를 위한 넓고 얕은 지식	채사장	웨일북
총 균 쇠	재레드 다이아몬드	문학사상
총 균 쇠	재레드 다이아몬드	문학사상
1Q84	무라카미 하루키	문학동네
살고 싶다는 농담	허지웅	웅진지식하우스
위대한 개츠비	프랜시스 스콧 피츠제럴드	민음사
여덟 단어	박웅현	북하우스
돈의 속성	이명로	비즈니스북스
바깥은 여름	김애란	문학과지성사
신경 끄기의 기술	마크 맨슨	웅진지식하우스
팩트풀니스	한스 로슬링	김영사
내 어머니 이야기	김은경	마음산책
사피엔스	유발 하라리	김영사
사피엔스	유발 하라리	김영사
호의는 거절하겠습니다	김유진	북라이프
돈으로 살 수 없는 것들	마이클 센델	미래사
내 옆에 있는 사람	나카무라 후미노리	북라이프
보통의 존재	이석원	달
천년의 질문	조정래	해냄출판사
연금술사	파울로 코엘료	문학동네
돈의 신	이희수	홍익출판사
죽고 싶지만 떡볶이는 먹고 싶어	백세희	흔
살고 싶다는 농담	허지웅	웅진지식하우스
달러구트 꿈 백화점	이미예	팩토리나인
죽음의 수용소에서	빅터 프랭클	청아출판사
노르웨이의 숲	무라카미 하루키	민음사
모모	미하엘 엔데	비룡소
내 어머니 이야기	김은경	마음산책
천년의 질문	조정래	해냄출판사
연금술사	파울로 코엘료	문학동네
